collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),ACHNA,,,,,1,8,30.3,,33.9,22.7,4.1,1.5,,,176.0,,,,63.0,0.0,,,2.10922,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),AGROS,,,,,1,10,30.3,,33.8,21.3,3.1,1.3,689.0,442.0,165.0,,,,29.0,0.0,,,1.594776,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),AKAMAS,,,,,1,7,30.2,,30.9,20.0,12.0,,,,226.0,,,,54.0,0.0,,,6.173328,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,,ALONOUDI,,,,,0,0,,,,,,,,,,,,,,,,,,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),AMARGETI,,,,,1,9,35.1,,36.0,23.1,6.3,2.2,,,278.0,,,,19.0,0.0,962.2,,3.240997,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),ASTROMERITIS,,,,,1,6,30.3,,,,7.0,2.9,,,306.0,,,,61.0,0.0,,,3.601108,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),ATHALASSA,,,,,1,11,34.8,37.4,37.9,20.6,5.2,2.6,,,305.0,,,,38.0,0.0,993.1,,2.675109,,"{""Atmospheric Pressure (Mean Sea Level)"": {""unit"": ""hPa"", ""value"": 1011.1}}"
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),ATHIENOU,,,,,1,9,32.7,38.6,36.3,21.5,8.1,3.0,,,131.0,,,,57.0,0.0,,,4.166996,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),AVDIMOU,,,,,1,11,35.1,43.5,35.4,16.0,1.6,1.2,952.0,430.0,193.0,,,,40.0,0.0,,,0.82311,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),CAVO_GRECO,,,,,1,9,29.5,,31.7,23.1,6.6,2.5,,,216.0,,,,73.0,0.0,1004.8,,3.39533,,
