collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),AGROS,,,,,1,10,21.8,,23.0,21.2,1.3,0.8,4.0,0.0,306.0,,,,43.0,0.0,,,0.668777,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),AGROS,,,,,1,10,23.0,,23.1,20.2,0.0,0.0,549.0,97.0,106.0,,,,40.0,0.0,,,0.0,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),AGROS,,,,,1,10,29.8,,30.3,20.2,4.1,1.3,800.0,728.0,132.0,,,,28.0,0.0,,,2.10922,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),AGROS,,,,,1,10,29.9,,30.6,20.2,4.8,1.8,785.0,977.0,209.0,,,,24.0,0.0,,,2.469331,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),AGROS,,,,,1,10,30.3,,31.3,20.2,4.8,1.8,733.0,984.0,218.0,,,,23.0,0.0,,,2.469331,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),AGROS,,,,,1,10,30.6,,31.4,20.2,5.2,2.2,770.0,914.0,159.0,,,,21.0,0.0,,,2.675109,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),AGROS,,,,,1,10,30.9,,31.4,20.2,3.6,1.0,803.0,811.0,132.0,,,,21.0,0.0,,,1.851998,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),AGROS,,,,,1,10,29.7,,31.4,20.2,2.6,1.3,784.0,546.0,152.0,,,,23.0,0.0,,,1.337554,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),AGROS,,,,,1,10,27.3,,31.4,20.2,3.4,1.1,17.0,45.0,156.0,,,,27.0,0.0,,,1.74911,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),AGROS,,,,,1,10,25.5,,31.4,20.2,2.8,0.8,4.0,16.0,220.0,,,,32.0,0.0,,,1.440443,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),AGROS,,,,,1,10,22.6,,31.4,20.2,3.1,0.8,4.0,0.0,326.0,,,,38.0,0.0,,,1.594776,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),AGROS,,,,,1,10,21.9,,21.9,21.7,3.0,1.0,4.0,0.0,315.0,,,,38.0,0.0,,,1.543332,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),AGROS,,,,,1,10,22.3,,22.8,21.7,2.0,0.7,4.0,0.0,314.0,,,,30.0,0.0,,,1.028888,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),AGROS,,,,,1,10,21.5,,22.8,21.3,3.4,1.1,4.0,0.0,336.0,,,,35.0,0.0,,,1.74911,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),AGROS,,,,,1,10,21.3,,22.8,20.8,4.2,1.3,4.0,0.0,327.0,,,,39.0,0.0,,,2.160665,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),AGROS,,,,,1,10,21.1,,22.8,20.8,3.0,0.8,4.0,0.0,322.0,,,,33.0,0.0,,,1.543332,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),AGROS,,,,,1,10,20.9,,22.8,20.5,2.0,0.6,4.0,0.0,336.0,,,,30.0,0.0,,,1.028888,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),AGROS,,,,,1,10,20.3,,22.8,20.2,0.5,0.7,4.0,0.0,296.0,,,,34.0,0.0,,,0.257222,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),AGROS,,,,,1,10,21.0,,22.8,18.2,2.2,1.1,659.0,102.0,346.0,,,,33.0,0.0,,,1.131777,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),AGROS,,,,,1,10,27.3,,30.0,18.2,0.0,0.7,845.0,761.0,194.0,,,,19.0,0.0,,,0.0,,
