collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),AMARGETI,,,,,1,9,25.3,,26.6,23.8,3.3,1.5,,,298.0,,,,36.0,0.0,954.4,,1.697665,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),AMARGETI,,,,,1,9,30.8,,30.9,23.8,4.4,1.6,,,105.0,,,,25.0,0.0,954.9,,2.263554,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),AMARGETI,,,,,1,9,33.5,,35.7,23.8,3.6,1.4,,,199.0,,,,18.0,0.0,955.6,,1.851998,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),AMARGETI,,,,,1,9,34.5,,35.7,23.8,3.7,1.2,,,186.0,,,,25.0,0.0,956.2,,1.903443,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),AMARGETI,,,,,1,9,35.5,,36.3,23.8,6.6,2.1,,,209.0,,,,17.0,0.0,956.2,,3.39533,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),AMARGETI,,,,,1,9,36.0,,36.4,23.8,4.5,1.3,,,242.0,,,,17.0,0.0,956.3,,2.314998,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),AMARGETI,,,,,1,9,35.3,,36.6,23.8,6.5,2.0,,,259.0,,,,18.0,0.0,956.2,,3.343886,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),AMARGETI,,,,,1,9,33.9,,36.6,23.8,5.0,1.3,,,268.0,,,,31.0,0.0,956.2,,2.57222,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),AMARGETI,,,,,1,9,32.9,,36.6,23.8,6.5,1.2,,,249.0,,,,23.0,0.0,956.1,,3.343886,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),AMARGETI,,,,,1,9,30.3,,36.6,23.8,3.7,1.3,,,278.0,,,,28.0,0.0,956.5,,1.903443,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),AMARGETI,,,,,1,9,26.8,,36.6,23.8,2.0,0.7,,,281.0,,,,40.0,0.0,956.7,,1.028888,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),AMARGETI,,,,,1,9,26.8,,27.0,26.4,2.9,0.7,,,349.0,,,,34.0,0.0,956.9,,1.491888,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),AMARGETI,,,,,1,9,26.7,,27.3,26.4,1.7,0.5,,,85.0,,,,30.0,0.0,957.0,,0.874555,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),AMARGETI,,,,,1,9,25.7,,27.3,25.6,1.0,0.0,,,311.0,,,,34.0,0.0,957.0,,0.514444,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),AMARGETI,,,,,1,9,26.0,,27.3,25.3,0.0,0.0,,,191.0,,,,29.0,0.0,957.2,,0.0,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),AMARGETI,,,,,1,9,25.4,,27.3,24.4,2.6,1.0,,,323.0,,,,27.0,0.0,956.8,,1.337554,,
