collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),AVDIMOU,,,,,1,11,35.5,43.8,37.0,15.8,6.9,2.5,863.0,570.0,238.0,,,,25.0,0.0,,,3.549664,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),AVDIMOU,,,,,1,11,35.6,42.6,37.0,15.8,2.4,1.2,835.0,314.0,240.0,,,,24.0,0.0,,,1.234666,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),AVDIMOU,,,,,1,11,29.7,26.6,37.0,15.8,1.1,0.5,4.0,11.0,235.0,,,,34.0,0.0,,,0.565888,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),AVDIMOU,,,,,1,11,25.3,21.6,28.4,25.2,0.7,0.0,3.0,7.0,345.0,,,,45.0,0.0,,,0.360111,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),AVDIMOU,,,,,1,11,23.0,19.5,28.4,22.9,1.2,0.1,3.0,7.0,333.0,,,,51.0,0.0,,,0.617333,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),AVDIMOU,,,,,1,11,23.4,18.4,28.4,21.8,2.5,0.3,3.0,5.0,101.0,,,,44.0,0.0,,,1.28611,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),AVDIMOU,,,,,1,11,21.5,17.0,28.4,21.4,0.7,0.0,3.0,7.0,244.0,,,,63.0,0.0,,,0.360111,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),AVDIMOU,,,,,1,11,18.3,15.1,28.4,18.3,1.5,0.0,3.0,6.0,337.0,,,,66.0,0.0,,,0.771666,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),AVDIMOU,,,,,1,11,17.2,14.4,28.4,17.1,1.5,0.2,3.0,6.0,356.0,,,,66.0,0.0,,,0.771666,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AVDIMOU,,,,,1,11,18.4,17.4,28.4,16.3,1.5,0.0,270.0,112.0,354.0,,,,63.0,0.0,,,0.771666,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),AVDIMOU,,,,,1,11,30.6,43.3,30.9,16.3,2.4,1.3,758.0,665.0,128.0,,,,40.0,0.0,,,1.234666,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),AVDIMOU,,,,,1,11,35.8,50.8,36.3,16.3,4.7,2.2,503.0,965.0,113.0,,,,26.0,0.0,,,2.417887,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),AVDIMOU,,,,,1,11,36.0,47.8,38.2,16.3,4.3,2.1,688.0,896.0,220.0,,,,36.0,0.0,,,2.212109,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),AVDIMOU,,,,,1,11,35.4,46.0,38.2,16.3,5.5,1.8,810.0,675.0,242.0,,,,41.0,0.0,,,2.829442,,
