collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),AVDIMOU,,,,,1,11,16.8,15.4,25.6,16.7,1.4,0.0,3.0,5.0,358.0,,,,69.0,0.0,,,0.720222,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),AVDIMOU,,,,,1,11,21.3,24.4,25.6,16.0,1.4,0.0,355.0,141.0,354.0,,,,64.0,0.0,,,0.720222,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),AVDIMOU,,,,,1,11,30.5,44.0,31.0,16.0,2.5,1.3,714.0,696.0,140.0,,,,50.0,0.0,,,1.28611,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),AVDIMOU,,,,,1,11,32.8,48.0,33.3,16.0,4.8,2.0,554.0,947.0,128.0,,,,40.0,0.0,,,2.469331,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),AVDIMOU,,,,,1,11,35.8,49.3,36.2,16.0,3.4,1.6,614.0,958.0,182.0,,,,19.0,0.0,,,1.74911,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),AVDIMOU,,,,,1,11,36.2,49.1,36.5,16.0,4.5,1.9,737.0,889.0,156.0,,,,22.0,0.0,,,2.314998,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),AVDIMOU,,,,,1,11,36.1,47.5,36.5,16.0,4.7,1.9,802.0,789.0,218.0,,,,24.0,0.0,,,2.417887,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),AVDIMOU,,,,,1,11,34.3,43.4,36.5,16.0,3.7,1.7,864.0,533.0,205.0,,,,39.0,0.0,,,1.903443,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),AVDIMOU,,,,,1,11,33.2,39.6,36.5,16.0,3.7,1.5,804.0,300.0,215.0,,,,37.0,0.0,,,1.903443,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),AVDIMOU,,,,,1,11,30.7,28.3,36.5,16.0,0.8,0.0,19.0,35.0,241.0,,,,39.0,0.0,,,0.411555,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),AVDIMOU,,,,,1,11,25.5,21.2,36.5,16.0,0.8,0.0,3.0,7.0,309.0,,,,49.0,0.0,,,0.411555,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),AVDIMOU,,,,,1,11,22.1,19.1,22.6,22.0,0.0,0.0,3.0,5.0,342.0,,,,57.0,0.0,,,0.0,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),AVDIMOU,,,,,1,11,20.2,17.4,22.6,20.0,1.4,0.0,3.0,6.0,349.0,,,,58.0,0.0,,,0.720222,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),AVDIMOU,,,,,1,11,19.2,16.5,22.6,19.0,1.9,0.0,3.0,7.0,359.0,,,,60.0,0.0,,,0.977444,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),AVDIMOU,,,,,1,11,18.9,15.6,22.6,17.5,1.8,0.6,3.0,4.0,326.0,,,,54.0,0.0,,,0.925999,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),AVDIMOU,,,,,1,11,17.3,14.9,22.6,17.2,1.7,0.0,3.0,7.0,348.0,,,,59.0,0.0,,,0.874555,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),AVDIMOU,,,,,1,11,18.5,14.7,22.6,16.9,0.8,0.0,3.0,7.0,267.0,,,,52.0,0.0,,,0.411555,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),AVDIMOU,,,,,1,11,15.8,13.3,22.6,15.7,1.8,0.0,3.0,7.0,346.0,,,,61.0,0.0,,,0.925999,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),AVDIMOU,,,,,1,11,19.1,22.4,22.6,14.1,1.0,0.0,356.0,133.0,338.0,,,,57.0,0.0,,,0.514444,,
