collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),EPTAGONEIA,,,,,1,8,32.4,,33.0,18.0,7.7,2.7,,,251.0,,,,26.0,0.0,,,3.961219,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),EPTAGONEIA,,,,,1,8,32.2,,33.4,18.0,2.8,1.0,,,212.0,,,,31.0,0.0,,,1.440443,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),EPTAGONEIA,,,,,1,8,26.1,,33.4,18.0,1.1,0.2,,,93.0,,,,50.0,0.0,,,0.565888,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),EPTAGONEIA,,,,,1,8,21.6,,22.8,21.5,0.5,0.2,,,0.0,,,,55.0,0.0,,,0.257222,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),EPTAGONEIA,,,,,1,8,20.0,,22.8,20.0,1.5,0.1,,,278.0,,,,51.0,0.0,,,0.771666,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),EPTAGONEIA,,,,,1,8,20.3,,22.8,19.4,1.6,0.4,,,218.0,,,,47.0,0.0,,,0.82311,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),EPTAGONEIA,,,,,1,8,19.2,,22.8,19.0,1.7,0.1,,,244.0,,,,47.0,0.0,,,0.874555,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),EPTAGONEIA,,,,,1,8,18.4,,22.8,18.3,1.8,0.4,,,272.0,,,,47.0,0.0,,,0.925999,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),EPTAGONEIA,,,,,1,8,20.2,,22.8,18.3,1.6,0.6,,,291.0,,,,39.0,0.0,,,0.82311,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),EPTAGONEIA,,,,,1,8,26.1,,26.5,18.3,5.1,1.1,,,353.0,,,,25.0,0.0,,,2.623664,,
