collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),FRENAROS,,,,,1,11,32.8,37.6,35.0,23.7,8.1,3.4,,530.0,188.0,,,,36.0,0.0,999.7,,4.166996,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),FRENAROS,,,,,1,11,32.2,35.5,35.0,23.7,8.2,3.6,,272.0,195.0,,,,37.0,0.0,999.3,,4.218441,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),FRENAROS,,,,,1,11,27.6,27.0,35.0,23.7,7.7,2.9,,0.0,211.0,,,,72.0,0.0,999.0,,3.961219,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),FRENAROS,,,,,1,11,26.3,25.4,26.6,26.2,6.8,2.8,,0.0,206.0,,,,82.0,0.0,999.6,,3.498219,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),FRENAROS,,,,,1,11,25.9,24.8,26.6,25.7,5.0,2.2,,0.0,278.0,,,,67.0,0.0,999.6,,2.57222,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),FRENAROS,,,,,1,11,25.3,24.0,26.6,25.3,6.9,2.9,,0.0,284.0,,,,75.0,0.0,999.3,,3.549664,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),FRENAROS,,,,,1,11,25.4,24.0,26.6,25.1,8.9,3.6,,0.0,279.0,,,,67.0,0.0,998.8,,4.578552,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),FRENAROS,,,,,1,11,24.6,23.0,26.6,24.6,6.2,2.3,,0.0,271.0,,,,57.0,0.0,998.4,,3.189553,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),FRENAROS,,,,,1,11,24.5,22.5,26.6,24.5,5.4,1.8,,0.0,263.0,,,,54.0,0.0,997.8,,2.777998,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),FRENAROS,,,,,1,11,27.1,27.7,27.3,23.9,3.3,1.4,,184.0,235.0,,,,39.0,0.0,998.3,,1.697665,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),FRENAROS,,,,,1,11,32.7,35.7,33.0,23.9,4.4,1.9,,681.0,190.0,,,,43.0,0.0,998.4,,2.263554,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),FRENAROS,,,,,1,11,33.5,37.3,34.4,23.9,8.6,3.5,,968.0,170.0,,,,46.0,0.0,998.0,,4.424218,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),FRENAROS,,,,,1,11,33.2,37.2,34.4,23.9,11.9,4.4,,886.0,168.0,,,,43.0,0.0,997.7,,6.121884,,
