collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.5,,33.7,17.5,5.6,1.3,,568.0,318.0,,,,25.0,0.0,,,2.880886,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,30.7,,33.7,17.5,5.4,1.1,,293.0,307.0,,,,32.0,0.0,,,2.777998,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,24.0,,33.7,17.5,2.6,0.5,,0.0,164.0,,,,51.0,0.0,,,1.337554,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.0,,21.5,20.9,4.3,0.9,,0.0,166.0,,,,58.0,0.0,,,2.212109,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.1,,21.5,20.0,4.8,1.2,,0.0,162.0,,,,57.0,0.0,,,2.469331,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.0,,21.5,19.0,4.9,0.8,,0.0,172.0,,,,48.0,0.0,,,2.520776,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,18.7,,21.5,18.6,5.4,1.4,,0.0,165.0,,,,48.0,0.0,,,2.777998,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.2,,21.5,18.5,6.3,0.8,,0.0,171.0,,,,49.0,0.0,,,3.240997,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.0,,21.5,18.5,6.2,1.2,,0.0,169.0,,,,46.0,0.0,,,3.189553,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.9,,21.5,18.5,5.1,1.3,,11.0,157.0,,,,40.0,0.0,,,2.623664,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.9,,33.3,18.5,2.0,0.9,,662.0,324.0,,,,17.0,0.0,,,1.028888,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),KALOPANAYIOTIS,,,,,1,9,35.5,,36.1,18.5,5.9,1.3,,971.0,320.0,,,,18.0,0.0,,,3.03522,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,36.5,,36.8,18.5,7.4,1.3,,896.0,315.0,,,,18.0,0.0,,,3.806886,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,36.3,,37.3,18.5,5.7,1.1,,679.0,324.0,,,,17.0,0.0,,,2.932331,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.3,,37.3,18.5,3.6,0.7,,98.0,322.0,,,,29.0,0.0,,,1.851998,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,26.3,,37.3,18.5,3.6,1.1,,0.0,156.0,,,,40.0,0.0,,,1.851998,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,24.1,,24.3,24.1,5.0,0.6,,0.0,178.0,,,,44.0,0.0,,,2.57222,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,23.2,,24.3,23.1,5.7,1.0,,0.0,177.0,,,,37.0,0.0,,,2.932331,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),KALOPANAYIOTIS,,,,,1,9,23.1,,24.3,22.9,6.7,0.9,,0.0,178.0,,,,37.0,0.0,,,3.446775,,
