collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),KAMPOS,,,,,1,11,26.3,22.0,28.2,26.0,0.8,0.0,839.0,0.0,143.0,,,,27.0,0.0,,,0.411555,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),KAMPOS,,,,,1,11,27.5,23.8,28.2,25.9,2.9,1.2,1033.0,77.0,133.0,,,,26.0,0.0,,,1.491888,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),KAMPOS,,,,,1,11,34.7,37.4,34.9,25.9,3.9,1.9,92.0,677.0,111.0,,,,20.0,0.0,,,2.006332,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),KAMPOS,,,,,1,11,35.9,41.7,37.2,25.9,3.9,1.3,1444.0,927.0,46.0,,,,25.0,0.0,,,2.006332,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),KAMPOS,,,,,1,11,37.9,43.7,38.6,25.9,6.4,1.7,1185.0,967.0,336.0,,,,23.0,0.0,,,3.292442,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),KAMPOS,,,,,1,11,33.8,37.4,39.0,25.9,4.6,1.2,1361.0,259.0,335.0,,,,34.0,0.0,,,2.366442,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),KAMPOS,,,,,1,11,33.6,40.9,39.0,25.9,2.0,1.5,1097.0,830.0,120.0,,,,38.0,0.0,,,1.028888,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),KAMPOS,,,,,1,11,30.0,39.5,39.0,25.9,2.4,1.6,100.0,577.0,132.0,,,,64.0,0.0,,,1.234666,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),KAMPOS,,,,,1,11,28.1,34.4,39.0,25.9,2.9,1.6,179.0,179.0,123.0,,,,72.0,0.0,,,1.491888,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),KAMPOS,,,,,1,11,25.6,29.2,39.0,25.5,2.9,1.6,1083.0,41.0,138.0,,,,81.0,0.0,,,1.491888,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),KAMPOS,,,,,1,11,24.7,27.1,39.0,24.6,1.2,0.5,60.0,0.0,209.0,,,,84.0,0.0,,,0.617333,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),KAMPOS,,,,,1,11,25.5,25.8,26.1,24.9,1.5,0.3,61.0,0.0,260.0,,,,44.0,0.0,,,0.771666,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),KAMPOS,,,,,1,11,26.1,25.0,26.5,24.9,3.2,1.2,47.0,0.0,274.0,,,,30.0,0.0,,,1.646221,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),KAMPOS,,,,,1,11,26.0,24.9,26.5,24.9,2.2,0.9,43.0,0.0,267.0,,,,29.0,0.0,,,1.131777,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),KAMPOS,,,,,1,11,25.5,23.4,26.5,24.9,1.5,0.9,58.0,0.0,221.0,,,,32.0,0.0,,,0.771666,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),KAMPOS,,,,,1,11,26.5,24.0,26.5,24.9,3.5,1.3,1290.0,0.0,252.0,,,,23.0,0.0,,,1.800554,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),KAMPOS,,,,,1,11,26.2,23.6,26.8,24.9,2.8,1.3,1375.0,0.0,256.0,,,,22.0,0.0,,,1.440443,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),KAMPOS,,,,,1,11,25.7,22.8,26.8,24.9,2.3,0.9,961.0,0.0,272.0,,,,25.0,0.0,,,1.183221,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),KAMPOS,,,,,1,11,27.4,25.4,27.4,24.9,2.4,1.1,106.0,77.0,220.0,,,,21.0,0.0,,,1.234666,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),KAMPOS,,,,,1,11,33.9,35.6,34.3,24.9,2.8,1.5,463.0,695.0,90.0,,,,22.0,0.0,,,1.440443,,
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),KAMPOS,,,,,1,10,34.9,41.1,36.0,24.9,3.9,2.2,,957.0,122.0,,,,26.0,0.0,,,2.006332,,
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),KAMPOS,,,,,1,10,34.3,40.7,36.0,24.9,1.2,1.0,,984.0,43.0,,,,35.0,0.0,,,0.617333,,
2026-08-02T11:50:00+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02 14:40 (Local Time),KAMPOS,,,,,1,11,34.8,41.1,36.0,24.9,2.1,1.4,1021.0,934.0,12.0,,,,28.0,0.0,,,1.080332,,
2026-08-02T12:40:00+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02 15:40 (Local Time),KAMPOS,,,,,1,10,33.8,42.0,36.0,24.9,5.1,2.3,,829.0,121.0,,,,34.0,0.0,,,2.623664,,
2026-08-02T14:10:00+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02 17:10 (Local Time),KAMPOS,,,,,1,11,30.1,39.2,36.0,24.9,4.2,1.8,1294.0,563.0,120.0,,,,46.0,0.0,,,2.160665,,
