collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),KPYRGOS,,,,,1,8,23.1,,26.1,22.4,4.7,1.7,,,166.0,,,,44.0,0.0,,,2.417887,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),KPYRGOS,,,,,1,8,25.6,,26.1,22.3,3.5,1.2,,,147.0,,,,39.0,0.0,,,1.800554,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),KPYRGOS,,,,,1,8,29.9,,30.5,22.3,6.0,2.5,,,39.0,,,,56.0,0.0,,,3.086664,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),KPYRGOS,,,,,1,8,31.9,,32.2,22.3,6.3,2.4,,,324.0,,,,52.0,0.0,,,3.240997,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),KPYRGOS,,,,,1,8,32.4,,32.9,22.3,7.7,3.2,,,320.0,,,,48.0,0.0,,,3.961219,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),KPYRGOS,,,,,1,8,31.8,,32.9,22.3,8.4,3.2,,,327.0,,,,64.0,0.0,,,4.32133,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),KPYRGOS,,,,,1,8,31.0,,32.9,22.3,7.5,3.2,,,313.0,,,,69.0,0.0,,,3.85833,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),KPYRGOS,,,,,1,8,30.7,,32.9,22.3,5.9,2.3,,,318.0,,,,66.0,0.0,,,3.03522,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),KPYRGOS,,,,,1,8,31.0,,32.9,22.3,5.4,1.7,,,303.0,,,,59.0,0.0,,,2.777998,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),KPYRGOS,,,,,1,8,29.8,,32.9,22.3,0.9,0.4,,,244.0,,,,67.0,0.0,,,0.463,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),KPYRGOS,,,,,1,8,28.5,,32.9,22.3,2.4,0.7,,,319.0,,,,71.0,0.0,,,1.234666,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),KPYRGOS,,,,,1,8,26.2,,26.9,26.1,0.0,0.1,,,223.0,,,,80.0,0.0,,,0.0,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),KPYRGOS,,,,,1,8,24.8,,26.9,24.7,3.0,1.1,,,170.0,,,,82.0,0.0,,,1.543332,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),KPYRGOS,,,,,1,8,24.4,,26.9,24.3,3.9,1.4,,,147.0,,,,72.0,0.0,,,2.006332,,
