collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),KYPEROUNTA,,,,,1,6,22.1,,22.9,21.1,,3.7,,0.0,,,,,39.0,,,,,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),KYPEROUNTA,,,,,1,6,23.5,,23.8,21.1,,0.7,,258.0,,,,,33.0,,,,,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),KYPEROUNTA,,,,,1,6,25.9,,26.2,21.1,,1.4,,805.0,,,,,34.0,,,,,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),KYPEROUNTA,,,,,1,6,27.6,,28.1,21.1,,2.1,,1065.0,,,,,28.0,,,,,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),KYPEROUNTA,,,,,1,6,28.3,,28.7,21.1,,2.2,,1072.0,,,,,28.0,,,,,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),KYPEROUNTA,,,,,1,6,28.2,,29.4,21.1,,2.0,,1005.0,,,,,24.0,,,,,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),KYPEROUNTA,,,,,1,6,28.7,,29.4,21.1,,2.3,,885.0,,,,,24.0,,,,,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),KYPEROUNTA,,,,,1,6,28.4,,29.4,21.1,,1.5,,582.0,,,,,26.0,,,,,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),KYPEROUNTA,,,,,1,6,26.0,,29.4,21.1,,1.4,,319.0,,,,,29.0,,,,,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),KYPEROUNTA,,,,,1,6,23.6,,29.4,21.1,,1.4,,38.0,,,,,35.0,,,,,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),KYPEROUNTA,,,,,1,6,21.4,,29.4,21.1,,1.6,,0.0,,,,,39.0,,,,,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),KYPEROUNTA,,,,,1,6,22.4,,22.5,21.5,,2.1,,0.0,,,,,29.0,,,,,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),KYPEROUNTA,,,,,1,6,21.3,,22.5,21.1,,1.5,,0.0,,,,,30.0,,,,,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),KYPEROUNTA,,,,,1,6,21.2,,22.5,20.9,,1.8,,0.0,,,,,31.0,,,,,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),KYPEROUNTA,,,,,1,6,21.5,,22.5,20.9,,1.6,,0.0,,,,,29.0,,,,,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),KYPEROUNTA,,,,,1,6,21.0,,22.5,20.8,,1.7,,0.0,,,,,28.0,,,,,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),KYPEROUNTA,,,,,1,6,20.5,,22.5,20.1,,1.0,,0.0,,,,,30.0,,,,,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),KYPEROUNTA,,,,,1,6,19.9,,22.5,19.7,,1.8,,0.0,,,,,30.0,,,,,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),KYPEROUNTA,,,,,1,6,22.6,,22.9,18.6,,0.6,,282.0,,,,,23.0,,,,,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),KYPEROUNTA,,,,,1,6,24.9,,25.4,18.6,,1.2,,839.0,,,,,21.0,,,,,,
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),KYPEROUNTA,,,,,1,6,28.2,,29.2,18.6,,1.8,,1095.0,,,,,18.0,,,,,,
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),KYPEROUNTA,,,,,1,6,28.4,,29.3,18.6,,2.3,,1079.0,,,,,25.0,,,,,,
