collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),LEFKARA,,,,,1,6,33.4,,37.1,21.3,,1.5,,,,,,,34.0,0.0,,,,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),LEFKARA,,,,,1,6,32.8,,37.1,21.3,,1.2,,,,,,,31.0,0.0,,,,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),LEFKARA,,,,,1,6,27.3,,37.1,21.3,,0.1,,,,,,,61.0,0.0,,,,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),LEFKARA,,,,,1,6,24.6,,24.9,24.4,,2.0,,,,,,,50.0,0.0,,,,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),LEFKARA,,,,,1,6,22.3,,24.9,22.2,,2.2,,,,,,,52.0,0.0,,,,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),LEFKARA,,,,,1,6,21.9,,24.9,21.6,,2.1,,,,,,,48.0,0.0,,,,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),LEFKARA,,,,,1,6,21.3,,24.9,21.0,,2.1,,,,,,,45.0,0.0,,,,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),LEFKARA,,,,,1,6,21.2,,24.9,20.6,,1.5,,,,,,,41.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LEFKARA,,,,,1,6,18.9,,24.9,18.9,,0.2,,,,,,,52.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LEFKARA,,,,,1,6,23.3,,24.9,18.6,,0.4,,,,,,,37.0,0.0,,,,,
