collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),LYSOS,,,,,1,7,24.4,,25.2,22.7,2.8,,,,69.0,,,,30.0,0.0,,,1.440443,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),LYSOS,,,,,1,7,31.1,,31.2,22.7,2.7,,,,124.0,,,,26.0,0.0,,,1.388999,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),LYSOS,,,,,1,7,32.5,,34.4,22.7,2.2,,,,188.0,,,,23.0,0.0,,,1.131777,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),LYSOS,,,,,1,7,32.2,,34.8,22.7,4.3,,,,283.0,,,,34.0,0.0,,,2.212109,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),LYSOS,,,,,1,7,34.1,,35.6,22.7,4.7,,,,309.0,,,,35.0,0.0,,,2.417887,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),LYSOS,,,,,1,7,35.0,,35.6,22.7,6.2,,,,316.0,,,,31.0,0.0,,,3.189553,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),LYSOS,,,,,1,7,34.1,,35.6,22.7,7.0,,,,350.0,,,,30.0,0.0,,,3.601108,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),LYSOS,,,,,1,7,34.2,,35.6,22.7,3.1,,,,277.0,,,,24.0,0.0,,,1.594776,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),LYSOS,,,,,1,7,31.6,,35.6,22.7,4.2,,,,275.0,,,,30.0,0.0,,,2.160665,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),LYSOS,,,,,1,7,29.5,,35.6,22.7,1.8,,,,265.0,,,,30.0,0.0,,,0.925999,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),LYSOS,,,,,1,7,24.2,,35.6,22.7,5.2,,,,167.0,,,,36.0,0.0,,,2.675109,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),LYSOS,,,,,1,7,24.1,,24.1,24.0,7.1,,,,172.0,,,,32.0,0.0,,,3.652552,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),LYSOS,,,,,1,7,23.8,,24.3,23.8,2.8,,,,190.0,,,,32.0,0.0,,,1.440443,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),LYSOS,,,,,1,7,24.0,,24.3,23.6,2.1,,,,196.0,,,,30.0,0.0,,,1.080332,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),LYSOS,,,,,1,7,24.2,,24.3,23.3,2.7,,,,198.0,,,,29.0,0.0,,,1.388999,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),LYSOS,,,,,1,7,24.0,,24.3,23.3,2.9,,,,213.0,,,,28.0,0.0,,,1.491888,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),LYSOS,,,,,1,7,24.0,,24.4,23.3,0.9,,,,139.0,,,,28.0,0.0,,,0.463,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),LYSOS,,,,,1,7,23.7,,24.4,23.3,2.8,,,,251.0,,,,28.0,0.0,,,1.440443,,
