collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),MATHIATIS,,,,,1,10,31.2,,37.2,19.6,9.8,3.6,665.0,580.0,164.0,,,,41.0,0.0,,,5.041551,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),MATHIATIS,,,,,1,10,32.9,,37.2,19.6,5.1,1.3,581.0,305.0,291.0,,,,29.0,0.0,,,2.623664,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),MATHIATIS,,,,,1,10,25.9,,37.2,19.6,2.4,1.0,4.0,0.0,286.0,,,,41.0,0.0,,,1.234666,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),MATHIATIS,,,,,1,10,23.3,,23.8,23.3,4.4,0.9,4.0,0.0,279.0,,,,52.0,0.0,,,2.263554,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),MATHIATIS,,,,,1,10,23.3,,23.8,23.0,0.9,0.2,4.0,0.0,281.0,,,,39.0,0.0,,,0.463,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),MATHIATIS,,,,,1,10,23.6,,23.9,22.9,5.9,1.1,4.0,0.0,280.0,,,,35.0,0.0,,,3.03522,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),MATHIATIS,,,,,1,10,23.4,,24.1,22.9,2.1,0.8,4.0,0.0,284.0,,,,34.0,0.0,,,1.080332,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),MATHIATIS,,,,,1,10,21.2,,24.1,21.0,2.3,0.5,4.0,0.0,278.0,,,,37.0,0.0,,,1.183221,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),MATHIATIS,,,,,1,10,21.0,,24.1,20.8,2.3,0.5,4.0,0.0,286.0,,,,39.0,0.0,,,1.183221,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),MATHIATIS,,,,,1,10,27.8,,28.1,20.1,2.5,0.5,114.0,120.0,306.0,,,,28.0,0.0,,,1.28611,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),MATHIATIS,,,,,1,10,35.2,,35.4,20.1,6.1,1.4,737.0,666.0,353.0,,,,19.0,0.0,,,3.138108,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),MATHIATIS,,,,,1,10,37.8,,38.4,20.1,5.4,1.3,718.0,967.0,1.0,,,,17.0,0.0,,,2.777998,,
