collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),PRODROMOS,,,,,1,9,20.0,,20.6,19.0,2.5,0.6,,0.0,108.0,,,,41.0,0.0,,,1.28611,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),PRODROMOS,,,,,1,9,20.4,,20.6,19.0,1.3,0.4,,41.0,235.0,,,,42.0,0.0,,,0.668777,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),PRODROMOS,,,,,1,9,25.6,,25.8,19.0,2.4,0.8,,723.0,289.0,,,,34.0,0.0,,,1.234666,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),PRODROMOS,,,,,1,9,27.7,,28.0,19.0,2.1,1.1,,959.0,236.0,,,,28.0,0.0,,,1.080332,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),PRODROMOS,,,,,1,9,28.8,,30.0,19.0,3.1,1.4,,965.0,227.0,,,,26.0,0.0,,,1.594776,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),PRODROMOS,,,,,1,9,30.0,,30.3,19.0,2.1,1.0,,881.0,232.0,,,,23.0,0.0,,,1.080332,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),PRODROMOS,,,,,1,9,29.2,,30.6,19.0,1.5,0.9,,758.0,272.0,,,,26.0,0.0,,,0.771666,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),PRODROMOS,,,,,1,9,27.0,,30.6,19.0,2.5,0.6,,480.0,296.0,,,,28.0,0.0,,,1.28611,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),PRODROMOS,,,,,1,9,23.7,,30.6,19.0,3.1,1.0,,0.0,274.0,,,,35.0,0.0,,,1.594776,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),PRODROMOS,,,,,1,9,21.5,,30.6,19.0,3.2,1.0,,0.0,269.0,,,,42.0,0.0,,,1.646221,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),PRODROMOS,,,,,1,9,19.3,,30.6,19.0,2.0,0.6,,0.0,256.0,,,,50.0,0.0,,,1.028888,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),PRODROMOS,,,,,1,9,18.6,,18.8,18.6,2.2,0.3,,0.0,239.0,,,,52.0,0.0,,,1.131777,,
2026-08-01T19:40:00+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01T19:45:51.552370+00:00,2026-08-01 22:40 (Local Time),PRODROMOS,,,,,1,9,20.2,,20.5,18.6,4.4,1.6,,0.0,252.0,,,,30.0,0.0,,,2.263554,,
2026-08-01T20:30:00+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01T20:34:27.132948+00:00,2026-08-01 23:20 (Local Time),PRODROMOS,,,,,1,9,20.5,,20.7,18.6,4.5,1.4,,0.0,267.0,,,,28.0,0.0,,,2.314998,,
2026-08-01T21:30:00+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-01T21:32:20.303199+00:00,2026-08-02 00:20 (Local Time),PRODROMOS,,,,,1,9,20.7,,21.0,18.6,4.1,1.1,,0.0,270.0,,,,24.0,0.0,,,2.10922,,
2026-08-01T22:30:00+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-01T22:33:01.150141+00:00,2026-08-02 01:20 (Local Time),PRODROMOS,,,,,1,9,19.8,,21.0,18.6,3.8,1.4,,0.0,255.0,,,,25.0,0.0,,,1.954887,,
2026-08-01T23:30:00+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-01T23:31:17.428706+00:00,2026-08-02 02:20 (Local Time),PRODROMOS,,,,,1,9,19.7,,21.0,18.6,2.2,0.7,,0.0,266.0,,,,26.0,0.0,,,1.131777,,
2026-08-02T01:00:00+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02T01:08:51.031453+00:00,2026-08-02 04:00 (Local Time),PRODROMOS,,,,,1,9,18.6,,21.0,18.2,4.5,1.4,,0.0,221.0,,,,28.0,0.0,,,2.314998,,
2026-08-02T04:30:00+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02T04:37:00.440083+00:00,2026-08-02 07:30 (Local Time),PRODROMOS,,,,,1,9,18.5,,21.0,17.5,4.3,1.4,,32.0,220.0,,,,32.0,0.0,,,2.212109,,
2026-08-02T07:10:00+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02T07:14:08.141200+00:00,2026-08-02 10:00 (Local Time),PRODROMOS,,,,,1,9,23.8,,25.2,17.5,0.9,0.7,,756.0,290.0,,,,25.0,0.0,,,0.463,,
2026-08-02T09:20:00+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02T09:22:09.280885+00:00,2026-08-02 12:10 (Local Time),PRODROMOS,,,,,1,9,26.1,,28.5,17.5,0.8,0.7,,972.0,72.0,,,,28.0,0.0,,,0.411555,,
2026-08-02T10:50:00+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02T10:54:18.622568+00:00,2026-08-02 13:40 (Local Time),PRODROMOS,,,,,1,9,29.1,,30.4,17.5,1.2,0.8,,959.0,308.0,,,,26.0,0.0,,,0.617333,,
2026-08-02T11:50:00+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02T11:52:32.895203+00:00,2026-08-02 14:40 (Local Time),PRODROMOS,,,,,1,9,25.4,,30.4,17.5,4.6,2.0,,887.0,29.0,,,,44.0,0.0,,,2.366442,,
2026-08-02T12:40:00+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02T12:46:04.429395+00:00,2026-08-02 15:40 (Local Time),PRODROMOS,,,,,1,9,25.5,,30.4,17.5,4.0,1.5,,746.0,32.0,,,,42.0,0.0,,,2.057776,,
2026-08-02T14:10:00+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02T14:16:10.990858+00:00,2026-08-02 17:10 (Local Time),PRODROMOS,,,,,1,9,22.8,,30.4,17.5,2.2,1.0,,442.0,13.0,,,,54.0,0.0,,,1.131777,,
