collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-08-01T01:10:00+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01T01:16:32.625157+00:00,2026-08-01 04:10 (Local Time),PYRGOS,,,,,1,5,25.0,,,,3.5,,,,59.1,,,,40.0,0.0,,,1.800554,,
2026-08-01T04:30:00+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01T04:37:18.040723+00:00,2026-08-01 07:30 (Local Time),PYRGOS,,,,,1,5,27.1,,,,4.1,,,,56.0,,,,28.0,0.0,,,2.10922,,
2026-08-01T07:10:00+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01T07:14:43.701489+00:00,2026-08-01 10:00 (Local Time),PYRGOS,,,,,1,5,32.5,,,,2.4,,,,356.9,,,,27.0,0.0,,,1.234666,,
2026-08-01T09:20:00+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01T09:21:50.747825+00:00,2026-08-01 12:10 (Local Time),PYRGOS,,,,,1,5,33.5,,,,3.0,,,,308.8,,,,27.0,0.0,,,1.543332,,
2026-08-01T10:50:00+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01T10:53:06.306952+00:00,2026-08-01 13:40 (Local Time),PYRGOS,,,,,1,5,34.0,,,,2.8,,,,296.4,,,,38.0,0.0,,,1.440443,,
2026-08-01T11:50:00+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01T11:52:26.035369+00:00,2026-08-01 14:40 (Local Time),PYRGOS,,,,,1,5,32.8,,,,4.0,,,,242.9,,,,39.0,0.0,,,2.057776,,
2026-08-01T12:40:00+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01T12:44:10.802769+00:00,2026-08-01 15:30 (Local Time),PYRGOS,,,,,1,5,32.3,,,,8.4,,,,239.7,,,,36.0,0.0,,,4.32133,,
2026-08-01T14:10:00+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01T14:14:22.833875+00:00,2026-08-01 17:00 (Local Time),PYRGOS,,,,,1,5,31.2,,,,9.2,,,,233.6,,,,35.0,0.0,,,4.732885,,
2026-08-01T15:20:00+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01T15:20:19.189933+00:00,2026-08-01 18:10 (Local Time),PYRGOS,,,,,1,5,29.5,,,,11.3,,,,234.7,,,,37.0,0.0,,,5.813217,,
2026-08-01T16:20:00+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01T16:26:34.756773+00:00,2026-08-01 19:20 (Local Time),PYRGOS,,,,,1,5,27.5,,,,11.0,,,,228.1,,,,45.0,0.0,,,5.658884,,
2026-08-01T17:20:00+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01T17:29:29.533427+00:00,2026-08-01 20:20 (Local Time),PYRGOS,,,,,1,5,25.8,,,,7.0,,,,218.5,,,,50.0,0.0,,,3.601108,,
2026-08-01T18:30:00+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01T18:32:15.062034+00:00,2026-08-01 21:20 (Local Time),PYRGOS,,,,,1,5,24.5,,,,4.5,,,,232.3,,,,58.0,0.0,,,2.314998,,
