collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),TRIPILOS,,,,,1,7,19.2,,19.8,19.0,4.1,,,,4.0,,,,50.0,0.0,,,2.10922,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),TRIPILOS,,,,,1,7,19.6,,19.8,18.9,1.4,,,,15.0,,,,49.0,0.0,,,0.720222,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),TRIPILOS,,,,,1,7,28.2,,28.3,18.9,2.6,,,,96.0,,,,37.0,0.0,,,1.337554,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),TRIPILOS,,,,,1,7,27.5,,29.5,18.9,3.3,,,,69.0,,,,41.0,0.0,,,1.697665,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),TRIPILOS,,,,,1,7,19.9,,29.5,18.9,4.0,,,,5.0,,,,54.0,0.0,,,2.057776,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),TRIPILOS,,,,,1,7,19.9,,20.3,19.8,3.3,,,,357.0,,,,52.0,0.0,,,1.697665,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),TRIPILOS,,,,,1,7,20.1,,20.3,19.8,4.0,,,,355.0,,,,50.0,0.0,,,2.057776,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),TRIPILOS,,,,,1,7,20.0,,20.4,19.8,4.7,,,,0.0,,,,48.0,0.0,,,2.417887,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),TRIPILOS,,,,,1,7,20.6,,20.7,19.6,1.9,,,,217.0,,,,49.0,0.0,,,0.977444,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),TRIPILOS,,,,,1,7,29.7,,30.1,19.6,2.9,,,,235.0,,,,39.0,0.0,,,1.491888,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),TRIPILOS,,,,,1,7,29.7,,31.2,19.6,1.7,,,,213.0,,,,44.0,0.0,,,0.874555,,
