collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),VISITOR,,,,,1,7,37.0,,37.4,24.4,4.1,,,,307.0,,,,14.0,0.0,,,2.10922,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),VISITOR,,,,,1,7,34.1,,37.4,24.4,4.0,,,,95.0,,,,30.0,0.0,,,2.057776,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),VISITOR,,,,,1,7,30.2,,37.4,24.4,5.4,,,,268.0,,,,43.0,0.0,,,2.777998,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),VISITOR,,,,,1,7,27.7,,28.4,27.6,1.8,,,,258.0,,,,59.0,0.0,,,0.925999,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),VISITOR,,,,,1,7,26.7,,28.4,26.6,4.0,,,,272.0,,,,70.0,0.0,,,2.057776,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),VISITOR,,,,,1,7,26.2,,28.4,26.1,4.0,,,,259.0,,,,60.0,0.0,,,2.057776,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),VISITOR,,,,,1,7,26.7,,28.4,25.9,5.3,,,,258.0,,,,45.0,0.0,,,2.726553,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),VISITOR,,,,,1,7,26.6,,28.4,25.9,4.4,,,,258.0,,,,44.0,0.0,,,2.263554,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),VISITOR,,,,,1,7,25.4,,28.4,25.1,3.3,,,,263.0,,,,40.0,0.0,,,1.697665,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),VISITOR,,,,,1,7,27.2,,28.4,25.1,3.7,,,,257.0,,,,32.0,0.0,,,1.903443,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),VISITOR,,,,,1,7,35.1,,35.4,25.1,2.0,,,,236.0,,,,18.0,0.0,,,1.028888,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),VISITOR,,,,,1,7,38.1,,38.9,25.1,2.7,,,,5.0,,,,14.0,0.0,,,1.388999,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),VISITOR,,,,,1,7,39.4,,40.0,25.1,4.9,,,,15.0,,,,14.0,0.0,,,2.520776,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),VISITOR,,,,,1,7,39.7,,40.3,25.1,4.2,,,,12.0,,,,13.0,0.0,,,2.160665,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),VISITOR,,,,,1,7,37.3,,40.3,25.1,4.6,,,,151.0,,,,18.0,0.0,,,2.366442,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),VISITOR,,,,,1,7,31.9,,40.3,25.1,3.4,,,,232.0,,,,38.0,0.0,,,1.74911,,
