collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),XYLOPHAGOU,,,,,1,9,31.4,39.5,34.9,24.0,9.8,3.0,,,193.0,,,,53.0,0.0,,,5.041551,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),XYLOPHAGOU,,,,,1,9,29.4,35.0,34.9,24.0,8.9,2.5,,,201.0,,,,63.0,0.0,,,4.578552,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),XYLOPHAGOU,,,,,1,9,26.6,27.6,34.9,24.0,6.5,2.1,,,206.0,,,,83.0,0.0,,,3.343886,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),XYLOPHAGOU,,,,,1,9,26.1,26.8,26.2,26.0,6.8,2.3,,,222.0,,,,84.0,0.0,,,3.498219,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),XYLOPHAGOU,,,,,1,9,25.4,25.4,26.2,25.4,4.4,1.2,,,262.0,,,,69.0,0.0,,,2.263554,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),XYLOPHAGOU,,,,,1,9,25.5,25.2,26.2,25.3,5.2,1.3,,,281.0,,,,64.0,0.0,,,2.675109,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),XYLOPHAGOU,,,,,1,9,25.6,25.5,26.2,25.3,7.7,2.1,,,285.0,,,,53.0,0.0,,,3.961219,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),XYLOPHAGOU,,,,,1,9,26.0,25.7,26.3,25.3,8.3,2.2,,,276.0,,,,42.0,0.0,,,4.269885,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),XYLOPHAGOU,,,,,1,9,24.5,24.1,26.3,24.3,5.3,1.7,,,253.0,,,,45.0,0.0,,,2.726553,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),XYLOPHAGOU,,,,,1,9,26.6,29.8,26.7,22.7,7.0,2.3,,,218.0,,,,68.0,0.0,,,3.601108,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),XYLOPHAGOU,,,,,1,9,29.2,31.5,29.6,22.7,9.3,2.5,,,196.0,,,,62.0,0.0,,,4.784329,,
